arch,lob,seed,mape,rmspe,n_companies,n_filtered,training_time,epochs_trained,best_val_loss
gru_baseline,private_passenger_auto,0,0.04998452094760298,0.09068031154639757,284,0,93.6,201,0.0004873501214509209
gru_baseline,private_passenger_auto,1,0.04764082250205311,0.08856938007463976,284,0,128.07,201,0.0004924810168126391
gru_baseline,private_passenger_auto,2,0.04609558955515127,0.08682654147221991,284,0,110.78,201,0.00047985898304937617
gru_baseline,private_passenger_auto,3,0.058098236515788014,0.10057515246289113,284,0,77.35,201,0.0004834564169868827
gru_baseline,private_passenger_auto,4,0.04853428358510998,0.08961881164469984,284,0,101.61,201,0.0004883276350382301
gru_baseline,private_passenger_auto,5,0.0471040460184645,0.08612318918873003,284,0,80.77,201,0.00048007716961567185
gru_baseline,private_passenger_auto,6,0.05145549200030354,0.09225423571662113,284,0,73.28,201,0.00047875134623609483
gru_baseline,private_passenger_auto,7,0.04902715144381324,0.09044393066618635,284,0,71.23,201,0.00048393183775867027
gru_baseline,private_passenger_auto,8,0.054125202157241495,0.09502086879004801,284,0,76.63,201,0.00047970320641373593
gru_baseline,private_passenger_auto,9,0.04846632962669164,0.08549771209706125,284,0,77.17,201,0.0004873946389933634
gru_baseline,private_passenger_auto,10,0.05823480421370256,0.10319048138228513,284,0,78.84,201,0.0004950883659249586
gru_baseline,private_passenger_auto,11,0.04698361231062017,0.08764051485283109,284,0,76.87,201,0.00047296067188856087
gru_baseline,private_passenger_auto,12,0.04982005588222978,0.0893539723421347,284,0,77.5,201,0.0004835446371645149
gru_baseline,private_passenger_auto,13,0.05171142379402827,0.09695131616039185,284,0,78.42,201,0.00047674901886946626
gru_baseline,private_passenger_auto,14,0.05588347701688441,0.09794637197487929,284,0,76.96,201,0.0004855247550747461
gru_baseline,private_passenger_auto,15,0.05488500660583164,0.09576569242041193,284,0,77.36,201,0.0004933830771026098
gru_baseline,private_passenger_auto,16,0.05072541656400974,0.09092525154228939,284,0,78.02,201,0.00048143370400389866
gru_baseline,private_passenger_auto,17,0.049090521224561916,0.09212971164391022,284,0,77.05,201,0.0004669114067736599
gru_baseline,private_passenger_auto,18,0.05702751283021452,0.10037216359615031,284,0,79.21,201,0.00048726498627931706
