config_idx,n_seeds,mean_mape,std_mape,min_mape,max_mape,screening_mape,learning_rate,dropout_rate,gru_units
48,6,0.019131097250371685,0.0,0.019131097250371685,0.019131097250371685,0.019131097250371685,0.0047583,0.1377,128
54,6,0.019400787877028067,0.0,0.019400787877028067,0.019400787877028067,0.019400787877028067,0.0010986,0.01508,128
49,6,0.019455176800927176,0.0,0.019455176800927176,0.019455176800927176,0.019455176800927176,0.0041338,0.05222,64
11,6,0.01951534501837007,0.0,0.01951534501837007,0.01951534501837007,0.01951534501837007,0.0026108,0.0354,128
67,6,0.020144824076178406,0.0,0.020144824076178406,0.020144824076178406,0.020144824076178406,0.0011308,0.11045,128
57,6,0.020146893548922212,0.0,0.020146893548922212,0.020146893548922212,0.020146893548922212,0.0027282,0.09266,64
79,6,0.02035689640236978,0.0,0.02035689640236978,0.02035689640236978,0.02035689640236978,0.0007168,0.13582,256
9,6,0.020624838591033243,0.0,0.020624838591033243,0.020624838591033243,0.020624838591033243,0.004359,0.04913,64
65,6,0.02111574088934863,0.0,0.02111574088934863,0.02111574088934863,0.02111574088934863,0.001625,0.01616,128
50,6,0.021327831452114768,0.0,0.021327831452114768,0.021327831452114768,0.021327831452114768,0.0043857,0.10616,128
58,6,0.021329546103404266,0.0,0.021329546103404266,0.021329546103404266,0.021329546103404266,0.0038611,0.02998,256
64,6,0.02144630376089424,3.800588715305073e-18,0.021446303760894243,0.021446303760894243,0.021446303760894243,0.00375,0.01983,256
60,6,0.02144630376089424,3.800588715305073e-18,0.021446303760894243,0.021446303760894243,0.021446303760894243,0.0037932,0.24275,64
76,6,0.02144630376089424,3.800588715305073e-18,0.021446303760894243,0.021446303760894243,0.021446303760894243,0.0046835,0.20996,256
34,6,0.021521787690903873,0.0,0.021521787690903873,0.021521787690903873,0.021521787690903873,0.0034686,0.06792,256
85,6,0.021613350071009455,3.800588715305073e-18,0.02161335007100946,0.02161335007100946,0.02161335007100946,0.0043327,0.11758,256
75,6,0.02163389178984332,0.0,0.02163389178984332,0.02163389178984332,0.02163389178984332,0.0034081,0.08303,256
91,6,0.022279457790570154,0.0,0.022279457790570154,0.022279457790570154,0.022279457790570154,0.0028027,0.01803,64
4,6,0.022420355374162867,0.0,0.022420355374162867,0.022420355374162867,0.022420355374162867,0.0022814,0.27613,128
40,6,0.022751137900777655,0.0,0.022751137900777655,0.022751137900777655,0.022751137900777655,0.0032406,0.0843,64
